trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
T4TOR17134,187.0,187.0,10,2,0
T4TOR18134,187.0,187.0,10,2,0
T4ANA05133,193.0,193.0,10,12,0
T4ANA17133,193.0,193.0,10,12,0
T4ANA18133,193.0,193.0,10,12,0
T4TOR06102,194.0,194.0,10,3,0
T4TOR19102,194.0,194.0,10,2,0
T4ANA06101,202.0,202.0,10,12,0
T4ANA19101,202.0,202.0,10,12,0
T4TOR05135,206.0,206.0,10,3,0
T4TOR17135,206.0,206.0,10,2,0
T4TOR18135,206.0,206.0,10,2,0
T4ANA05134,214.0,214.0,10,12,0
T4ANA17134,214.0,214.0,10,12,0
T4ANA18134,214.0,214.0,10,12,0
T4TOR06103,215.0,215.0,10,3,0
T4TOR19103,215.0,215.0,10,2,0
T4ANA06102,221.0,221.0,10,12,0
T4ANA19102,221.0,221.0,10,12,0
T4TOR05136,227.0,227.0,10,3,0
T4TOR17136,227.0,227.0,10,2,0
T4TOR18136,227.0,227.0,10,2,0
T4ANA05135,233.0,233.0,10,12,0
T4ANA17135,233.0,233.0,10,12,0
T4ANA18135,233.0,233.0,10,12,0
T4TOR06104,235.0,235.0,10,3,0
T4TOR19104,235.0,235.0,10,2,0
T4ANA06103,242.0,242.0,10,12,0
T4ANA19103,242.0,242.0,10,12,0
T4TOR05137,247.0,247.0,10,3,0
T4TOR17137,247.0,247.0,10,2,0
T4TOR18137,247.0,247.0,10,2,0
T4ANA05136,254.0,254.0,10,12,0
T4ANA17136,254.0,254.0,10,12,0
T4ANA18136,254.0,254.0,10,12,0
T4TOR06105,257.0,257.0,10,3,0
T4TOR19105,257.0,257.0,10,2,0
T4ANA06104,262.0,262.0,10,12,0
T4ANA19104,262.0,262.0,10,12,0
T4TOR05138,269.0,269.0,10,3,0
T4TOR17138,269.0,269.0,10,2,0
T4TOR18138,269.0,269.0,10,2,0
T4ANA05137,270.0,270.0,10,12,0
T4ANA17137,270.0,270.0,10,12,0
T4ANA18137,270.0,270.0,10,12,0
T4TOR06106,277.0,277.0,10,3,0
T4TOR19106,277.0,277.0,10,2,0
T4TOR05139,279.0,279.0,10,3,0
T4TOR17139,279.0,279.0,10,2,0
T4TOR18139,279.0,279.0,10,2,0
T4ANA06105,283.0,283.0,10,12,0
T4ANA19105,283.0,283.0,10,12,0
T4ANA05138,288.0,288.0,10,12,0
T4ANA17138,288.0,288.0,10,12,0
T4ANA18138,288.0,288.0,10,12,0
T4TOR011,298.0,298.0,10,3,0
T4TOR021,298.0,298.0,10,3,0
T4TOR051,298.0,298.0,10,3,0
T4TOR141,298.0,298.0,10,3,0
T4TOR171,298.0,298.0,10,2,0
T4TOR181,298.0,298.0,10,2,0
T4ANA06106,300.0,300.0,10,12,0
T4ANA19106,300.0,300.0,10,12,0
T4TOR031,303.0,303.0,10,3,0
T4TOR041,303.0,303.0,10,3,0
T4TOR05140,303.0,303.0,10,3,0
T4TOR061,303.0,303.0,10,3,0
T4TOR06107,303.0,303.0,10,3,0
T4TOR151,303.0,303.0,10,3,0
T4TOR161,303.0,303.0,10,3,0
T4TOR191,303.0,303.0,10,2,0
T4ANA05139,307.0,307.0,10,12,0
T4ANA17139,307.0,307.0,10,12,0
T4ANA18139,307.0,307.0,10,12,0
T4TOR012,317.0,317.0,10,3,0
T4TOR022,317.0,317.0,10,3,0
T4TOR052,317.0,317.0,10,3,0
T4TOR142,317.0,317.0,10,3,0
T4TOR172,317.0,317.0,10,2,0
T4TOR182,317.0,317.0,10,2,0
T4ANA011,318.0,318.0,10,12,0
T4ANA021,318.0,318.0,10,12,0
T4ANA031,318.0,318.0,10,12,0
T4ANA041,318.0,318.0,10,12,0
T4ANA051,318.0,318.0,10,12,0
T4ANA05140,318.0,318.0,10,12,0
T4ANA061,318.0,318.0,10,12,0
T4ANA06107,318.0,318.0,10,12,0
T4ANA141,318.0,318.0,10,12,0
T4ANA151,318.0,318.0,10,12,0
T4ANA161,318.0,318.0,10,12,0
T4ANA171,318.0,318.0,10,12,0
T4ANA181,318.0,318.0,10,12,0
T4ANA191,318.0,318.0,10,12,0
T4TOR032,333.0,333.0,10,3,0
T4TOR042,333.0,333.0,10,3,0
T4TOR062,333.0,333.0,10,3,0
T4TOR152,333.0,333.0,10,3,0
T4TOR162,333.0,333.0,10,3,0
T4TOR192,333.0,333.0,10,2,0
T4ANA012,337.0,337.0,10,12,0
T4ANA022,337.0,337.0,10,12,0
T4ANA052,337.0,337.0,10,12,0
T4ANA142,337.0,337.0,10,12,0
T4ANA172,337.0,337.0,10,12,0
T4ANA182,337.0,337.0,10,12,0
T4TOR013,337.0,337.0,10,3,0
T4TOR023,337.0,337.0,10,3,0
T4TOR053,337.0,337.0,10,3,0
T4TOR143,337.0,337.0,10,3,0
