service_id,date,exception_type
397.2.2201,20180321,1
397.2.2201,20180322,1
397.2.2201,20180323,1
397.2.2201,20180324,1
397.2.2201,20180325,1
397.2.2201,20180326,1
397.2.2201,20180327,1
398.2.2201,20180123,1
398.2.2201,20180124,1
398.2.2201,20180125,1
398.2.2201,20180126,1
398.2.2201,20180127,1
398.2.2201,20180128,1
398.2.2201,20180129,1
398.2.2201,20180130,1
398.2.2201,20180131,1
398.2.2201,20180201,1
398.2.2201,20180202,1
398.2.2201,20180203,1
398.2.2201,20180204,1
398.2.2201,20180205,1
398.2.2201,20180206,1
398.2.2201,20180207,1
398.2.2201,20180208,1
398.2.2201,20180209,1
398.2.2201,20180210,1
398.2.2201,20180211,1
398.2.2201,20180212,1
398.2.2201,20180213,1
398.2.2201,20180214,1
398.2.2201,20180215,1
398.2.2201,20180216,1
398.2.2201,20180217,1
398.2.2201,20180218,1
398.2.2201,20180219,1
398.2.2201,20180220,1
398.2.2201,20180221,1
398.2.2201,20180222,1
398.2.2201,20180223,1
398.2.2201,20180224,1
398.2.2201,20180225,1
398.2.2201,20180226,1
398.2.2201,20180227,1
398.2.2201,20180228,1
398.2.2201,20180301,1
398.2.2201,20180302,1
398.2.2201,20180303,1
398.2.2201,20180304,1
398.2.2201,20180305,1
398.2.2201,20180306,1
398.2.2201,20180307,1
398.2.2201,20180308,1
398.2.2201,20180309,1
398.2.2201,20180310,1
398.2.2201,20180311,1
398.2.2201,20180312,1
398.2.2201,20180313,1
398.2.2201,20180314,1
398.2.2201,20180315,1
398.2.2201,20180316,1
398.2.2201,20180317,1
398.2.2201,20180318,1
398.2.2201,20180319,1
398.2.2201,20180320,1
398.2.2201,20180321,1
398.2.2201,20180322,1
398.2.2201,20180323,1
398.2.2201,20180324,1
398.2.2201,20180325,1
398.2.2201,20180326,1
398.2.2201,20180327,1
