route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
216.2,44,N0,Pl. Portal De La Pau - Pl. Portal De La Pau,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=216,3366CC,FFFFFF
217.2,44,N1,Zona Franca - Pl. Catalunya - Trinitat Nova,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=217,3366CC,FFFFFF
218.5,44,N11,Barcelona (Pl. Catalunya) - H. Can Ruti,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=218,3366CC,FFFFFF
219.3,22,N12,Barcelona (Pl.Portal De La Pau) - St. Feliu De Ll.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=219,3366CC,FFFFFF
220.7,22,N13,Barcelona (Pl Catalunya) - Sant Boi De Ll.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=220,3366CC,FFFFFF
221.2,22,N14,Barcelona (Rda. Universitat) - Castelldefels,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=221,3366CC,FFFFFF
222.4,22,N15,Barcelona (Pl. Portal De La Pau) - Sant Joan Despí,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=222,3366CC,FFFFFF
223.9,22,N16,Barcelona (Pl. Catalunya) - Castelldefels,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=223,3366CC,FFFFFF
224.6,22,N17,Pl. Catalunya - Aeroport Terminal T1,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=224,3366CC,FFFFFF
225.4,44,N2,Hospitalet (Av. Carrilet) - Badalona (Via Augusta),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=225,3366CC,FFFFFF
226.3,44,N3,Barcelona (Collblanc) - Montcada I Reixac,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=226,3366CC,FFFFFF
227.4,44,N4,Via Favència - Pl. Catalunya - Carmel / Gran Vista,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=227,3366CC,FFFFFF
228.3,44,N5,Pl. Catalunya - Carmel / Gran Vista,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=228,3366CC,FFFFFF
229.6,44,N6,Barcelona (Roquetes) - Santa Coloma (Oliveres),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=229,3366CC,FFFFFF
230.3,44,N7,Pedralbes - Fòrum,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=230,3366CC,FFFFFF
231.6,44,N8,Can Caralleu - Santa Coloma (Can Franquesa),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=231,3366CC,FFFFFF
232.5,44,N9,Pl. Portal De La Pau - Tiana (Edith Llaurador),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=232,3366CC,FFFFFF
234.5,28,PR1,El Prat De Llobregat (Terminal T1-Terminal T2),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=234,FFCC00,000000
235.6,28,PR2,El Prat De L. (Estació Rodalies - St. Cosme),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=235,FFCC00,000000
236.7,28,PR3,El Prat De L. (Estació Rodalies - Sant Cosme),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=236,FFCC00,000000
237.6,36,PR4,El Prat De L. (Estació Rodalies) - Barcelona (Zal),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=237,FFCC00,000000
248.7,25,SB1,Sant Boi De L. (Camps Blancs - Frederic Mompou),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=248,FFCC00,000000
249.6,25,SB2,Sant Boi De L. (Est. Fgc Sant Boi - Camps Blancs),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=249,FFCC00,000000
250.3,25,SB3,Sant Boi De L. (Tanatori - Marianao),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=250,FFCC00,000000
251.2,34,SF1,Pl. Estació - C. Vilardaga - Rbla. M. Castellbell,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=251,FFCC00,000000
252.3,34,SF2,Estació -St. Joan- Rbla. M. Castellbell - Estació,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=252,FFCC00,000000
264.6,22,VB1,Viladecans (Estació Rodalies - Can Guardiola),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=264,FFCC00,000000
265.6,22,VB2,Viladecans (Estació Rodalies - Can Palmer),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=265,FFCC00,000000
