service_id,date,exception_type
001100,20171201,1
002100,20171201,1
004024,20171201,1
005100,20171201,1
001400,20171202,1
002400,20171202,1
004002,20171202,1
005400,20171202,1
001500,20171203,1
002500,20171203,1
004002,20171203,1
005500,20171203,1
001000,20171204,1
002000,20171204,1
004014,20171204,1
005000,20171204,1
001100,20171205,1
002100,20171205,1
004024,20171205,1
005100,20171205,1
001500,20171206,1
002500,20171206,1
004002,20171206,1
005500,20171206,1
001100,20171207,1
002100,20171207,1
004002,20171207,1
005100,20171207,1
001400,20171208,1
002400,20171208,1
004002,20171208,1
005400,20171208,1
001400,20171209,1
002400,20171209,1
004002,20171209,1
005400,20171209,1
001500,20171210,1
002500,20171210,1
004002,20171210,1
005500,20171210,1
001000,20171211,1
002000,20171211,1
004014,20171211,1
005000,20171211,1
001000,20171212,1
002000,20171212,1
004014,20171212,1
005000,20171212,1
001000,20171213,1
002000,20171213,1
004014,20171213,1
005000,20171213,1
001000,20171214,1
002000,20171214,1
004014,20171214,1
005000,20171214,1
001100,20171215,1
002100,20171215,1
004024,20171215,1
005100,20171215,1
001400,20171216,1
002400,20171216,1
004002,20171216,1
005400,20171216,1
001500,20171217,1
002500,20171217,1
004002,20171217,1
005500,20171217,1
001000,20171218,1
002000,20171218,1
004014,20171218,1
005000,20171218,1
001000,20171219,1
002000,20171219,1
004014,20171219,1
005000,20171219,1
001000,20171220,1
002000,20171220,1
004014,20171220,1
005000,20171220,1
001000,20171221,1
002000,20171221,1
004014,20171221,1
005000,20171221,1
001100,20171222,1
002100,20171222,1
004024,20171222,1
005100,20171222,1
001400,20171223,1
002400,20171223,1
004002,20171223,1
005400,20171223,1
001406,20171224,1
002424,20171224,1
004002,20171224,1
005400,20171224,1
001400,20171225,1
002400,20171225,1
004024,20171225,1
005400,20171225,1
001500,20171226,1
002500,20171226,1
004002,20171226,1
005500,20171226,1
001600,20171227,1
002000,20171227,1
004014,20171227,1
005600,20171227,1
001600,20171228,1
002000,20171228,1
004014,20171228,1
005600,20171228,1
001700,20171229,1
002100,20171229,1
004024,20171229,1
005700,20171229,1
001400,20171230,1
002400,20171230,1
004002,20171230,1
005400,20171230,1
001402,20171231,1
002431,20171231,1
004002,20171231,1
005400,20171231,1
001504,20180101,1
002501,20180101,1
004002,20180101,1
005500,20180101,1
001600,20180102,1
002000,20180102,1
004014,20180102,1
005600,20180102,1
001600,20180103,1
002000,20180103,1
004014,20180103,1
005600,20180103,1
001600,20180104,1
002000,20180104,1
004014,20180104,1
005600,20180104,1
001700,20180105,1
002100,20180105,1
004024,20180105,1
005700,20180105,1
001400,20180106,1
002400,20180106,1
004002,20180106,1
005400,20180106,1
001500,20180107,1
002500,20180107,1
004002,20180107,1
005500,20180107,1
001000,20180108,1
002000,20180108,1
004014,20180108,1
005000,20180108,1
001000,20180109,1
002000,20180109,1
004014,20180109,1
005000,20180109,1
001000,20180110,1
002000,20180110,1
004014,20180110,1
005000,20180110,1
001000,20180111,1
002000,20180111,1
004014,20180111,1
005000,20180111,1
001100,20180112,1
002100,20180112,1
004024,20180112,1
005100,20180112,1
001400,20180113,1
002400,20180113,1
004002,20180113,1
005400,20180113,1
001500,20180114,1
002500,20180114,1
004002,20180114,1
005500,20180114,1
001000,20180115,1
002000,20180115,1
004014,20180115,1
005000,20180115,1
001000,20180116,1
002000,20180116,1
004014,20180116,1
005000,20180116,1
001000,20180117,1
002000,20180117,1
004014,20180117,1
005000,20180117,1
001000,20180118,1
002000,20180118,1
004014,20180118,1
005000,20180118,1
001100,20180119,1
002100,20180119,1
004024,20180119,1
005100,20180119,1
001400,20180120,1
002400,20180120,1
004002,20180120,1
005400,20180120,1
001500,20180121,1
002500,20180121,1
004002,20180121,1
005500,20180121,1
001000,20180122,1
002000,20180122,1
004014,20180122,1
005000,20180122,1
001000,20180123,1
002000,20180123,1
004014,20180123,1
005000,20180123,1
001000,20180124,1
002000,20180124,1
004014,20180124,1
005000,20180124,1
001000,20180125,1
002000,20180125,1
004014,20180125,1
005000,20180125,1
001100,20180126,1
002100,20180126,1
004024,20180126,1
005100,20180126,1
001400,20180127,1
002400,20180127,1
004002,20180127,1
005400,20180127,1
001500,20180128,1
002500,20180128,1
004002,20180128,1
005500,20180128,1
001000,20180129,1
002000,20180129,1
004014,20180129,1
005000,20180129,1
001000,20180130,1
002000,20180130,1
004014,20180130,1
005000,20180130,1
001000,20180131,1
002000,20180131,1
004014,20180131,1
005000,20180131,1
001000,20180201,1
002000,20180201,1
004014,20180201,1
005000,20180201,1
001100,20180202,1
002100,20180202,1
004024,20180202,1
005100,20180202,1
001400,20180203,1
002400,20180203,1
004002,20180203,1
005400,20180203,1
001500,20180204,1
002500,20180204,1
004002,20180204,1
005500,20180204,1
001000,20180205,1
002000,20180205,1
004014,20180205,1
005000,20180205,1
001000,20180206,1
002000,20180206,1
004014,20180206,1
005000,20180206,1
001000,20180207,1
002000,20180207,1
004014,20180207,1
005000,20180207,1
001000,20180208,1
002000,20180208,1
004014,20180208,1
005000,20180208,1
001100,20180209,1
002100,20180209,1
004024,20180209,1
005100,20180209,1
001400,20180210,1
002400,20180210,1
004002,20180210,1
005400,20180210,1
001500,20180211,1
002500,20180211,1
004002,20180211,1
005500,20180211,1
001000,20180212,1
002000,20180212,1
004014,20180212,1
005000,20180212,1
001000,20180213,1
002000,20180213,1
004014,20180213,1
005000,20180213,1
001000,20180214,1
002000,20180214,1
004014,20180214,1
