stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AIT,,ctra. Vic (Benzinera) (A) Ms,,41.73930162885229,2.266178121647101,,,,,,
AIU,,pla�a del Raval (D),,41.73583803277109,1.977919280542142,,,,,,
AJD,,l'Obac,,41.619521891300806,1.9539271451680085,,,,,,
AJH,,Estaci� de Rodalies Terrassa-Nord (A),,41.56981615978756,2.013548295025257,,,,,,
AJJ,,av. Josep Tarradellas - pl. Llu�s Companys,,41.57058703811832,2.003713312747456,,,,,,
AJN,,Ca n'Amat de la Muntanya,,41.58818554954964,1.988074032891422,,,,,,
AJO,,Parc Vall�s (av. Santa Eul�lia) (A),,41.55233268011994,2.027231909883051,,,,,,
AJY,,Calcoix,,41.754779998110195,2.7563236179878428,,,,,,
AKB,,Estaci� de Renfe de Torell� (A),,42.0519661125461,2.2598106367070763,,,,,,
AKF,,Vilanova d'Espoia (av.Espoia-Escales) MB0495,,41.51530786124842,1.654164235553853,,,,,,
AKI,,Cal Ticubor,,41.42680994742406,1.5827287085160333,,,,,,
AKJ,,les Llambardes,,41.4392530547201,1.5605772917794163,,,,,,
AKK,,ctra. Vilafranca - c. Sant Quint� MB0190,,41.38853289446726,1.5706551375720086,,,,,,
AKL,,Can Coral (av.Can Coral - c.Drag�),,41.40047213202619,1.5761116479042157,,,,,,
AKU,,c. Major (Estaci� d'FGC),,41.52006673842021,1.7094349402100597,,,,,,
AKV,,ctra. la Mina (CEIP Serrat Voltor) MB0583,,42.20315569383704,1.817965273043445,,,,,,
ALB,,Santa Maria del Cam� (A),,41.62877289677007,1.473512103107745,,,,,,
ALF,,ctra. Berga - c. Sant Jordi MB0580,,42.136904407260204,1.9297359650349721,,,,,,
ALN,,la Pau (ctra.la Pobla - Dr.Barraquer) MB0483,,41.57145568302109,1.6462945446986261,,,,,,
ALQ,,ctra. Folgueroles - c. Guilleries,,41.947368752183436,2.382549559951721,,,,,,
ALR,,ctra. Guardiola - c. Figueretes MB0179,,41.39003485124457,1.664932620580809,,,,,,
ALX,,Vilanova i la Geltr� (estaci� d'autobusos),,41.220609237809455,1.7306225630939056,,,,,,
AME,,pl. Nova de l'Era,,42.025915410659586,2.4650424362642633,,,,,,
ANC,,Agullana,,42.394646655788335,2.8486220690176887,,,,,,
ANE,,Aiguaviva,,41.936943560479286,2.760118774124933,,,,,,
ANG,,Aeroport de Girona (Terminal),,41.93798611272458,2.7633839423667452,,,,,,
ANH,,NII-Aeroport (Cru�lla),,41.939172065915855,2.766347113373786,,,,,,
ANJ,,Albons (cru�lla),,42.10283006716099,3.0858810247587627,,,,,,
ANK,,el Far d'Empord�,,42.25077407308181,2.9962662891157295,,,,,,
ANM,,Alp (c. Nord) (A),,42.372744423964726,1.8877853205795612,,,,,,
ANS,,la Molina (Pista llarga),,42.33674044259875,1.9363801702037102,,,,,,
ANT,,la Molina,,42.34298674145222,1.955553110898665,,,,,,
ANZ,,Amer,,42.01057050783635,2.6032074972226806,,,,,,
AOA,,Angl�s,,41.95621226114038,2.640588794087651,,,,,,
AOB,,Arb�cies,,41.815267129764884,2.5140436081669497,,,,,,
AOC,,Argelaguer,,42.21601910825097,2.6421725203027635,,,,,,
AOD,,l'Armentera,,42.16964878355206,3.0731016780710725,,,,,,
AOE,,Avinyonet de Puigvent�s,,42.24548584497702,2.918968273315642,,,,,,
AOF,,Begur,,41.953617068934776,3.2064003759829336,,,,,,
